0
65536
43046721
4294967296
152587890625
2821109907456
33232930569601
281474976710656
1,85302018885184E+15
1E+16
4,59497298635722E+16
1,84884258895036E+17
6,6541660918318E+17
2,17795333780937E+18
6,56840835571289E+18
1,84467440737096E+19
4,86611918756669E+19
1,21439531096594E+20
2,88441413567621E+20
6,5536E+20
1,43056869024199E+21
3,01136149633907E+21
6,132610415681E+21
1,21165747909451E+22
2,3283064365387E+22
4,36087428994289E+22
7,97664430768725E+22
1,42734349946675E+23
2,50246473680347E+23
4,3046721E+23
7,27423121747185E+23
1,20892581961463E+24
1,97798520146256E+24
3,1890598707637E+24
5,0709427749025E+24
7,9586611099464E+24
1,23375119142172E+25
1,89032964795676E+25
2,86440031242744E+25
4,294967296E+25
6,37590309146531E+25
9,37537496836988E+25
1,36614025729312E+26
1,97352587024077E+26
2,82748441902442E+26
4,0190675620207E+26
5,66977372488557E+26
7,94071845499379E+26
1,10442767424392E+27
1,52587890625E+27
2,0947047501993E+27
2,85794257465697E+27
3,87626905011852E+27
5,22757361348592E+27
7,01137235467105E+27
9,35423835810529E+27
1,2416457054691E+28
1,64001528991152E+28
2,15591774070764E+28
2,821109907456E+28
3,67516938566375E+28
4,76724017068235E+28
6,15812912801822E+28
7,92281625142643E+28
1,01534516782101E+29
1,2962923816305E+29
1,64890958756244E+29
2,0899822769037E+29
2,63988769565514E+29
3,3232930569601E+29
4,1699762311637E+29
5,21578814501447E+29
6,5037787981781E+29
8,08551180810136E+29
1,00225957576186E+30
1,23884643808495E+30
1,52704418224801E+30
1,87721338875246E+30
2,3016191410961E+30
2,81474976710656E+30
3,43368382029251E+30
4,17851185002272E+30
5,07282029895386E+30
6,1442457392709E+30
7,42510862360642E+30
8,95313679019622E+30
1,07722901337518E+31
1,29336991432099E+31
1,54967314251789E+31
1,85302018885184E+31
2,21137439728439E+31
2,63393611744589E+31
3,13131801708001E+31
3,71574290834101E+31
4,40126668651766E+31
5,20402924666473E+31
6,14253653462686E+31
7,23797720592496E+31
8,51457771094875E+31
1E+32
